index,name,time,rating,item,sentiment,sentiment_score,source,어간,noun,v_ad,n_v_ad,review_sentence,replace_slang_sentence,name+item
12624,경쟁사,2022-06-28,3,식물등,부정,0.510041797,naver,"[('상품', 'Noun'), ('은', 'Josa'), ('마음', 'Noun'), ('에', 'Josa'), ('들다', 'Verb')]","['상품', '마음']",['들다'],"['상품', '마음', '들다']",상품은 마음에 들어요,상품 마음 들다,경쟁사(식물등)
12625,경쟁사,2022-06-28,3,식물등,부정,0.50676389,naver,"[('주문', 'Noun'), ('한', 'Josa'), ('두', 'Noun'), ('개', 'Noun'), ('중', 'Noun'), ('하나', 'Noun'), ('는', 'Josa'), ('박스', 'Noun'), ('개봉', 'Noun'), ('시', 'Noun'), ('부터', 'Josa'), ('나머지', 'Noun'), ('하나', 'Noun'), ('랑', 'Josa'), ('다르다', 'Adjective'), ('개봉', 'Noun'), ('하다', 'Verb'), ('상품', 'Noun'), ('같다', 'Adjective')]","['주문', '두', '개', '중', '하나', '박스', '개봉', '시', '나머지', '하나', '개봉', '상품']","['다르다', '하다', '같다']","['주문', '두', '개', '중', '하나', '박스', '개봉', '시', '나머지', '하나', '다르다', '개봉', '하다', '상품', '같다']",주문한 두 개 중 하나는 박스 개봉 시부터 나머지 하나랑 다르게 개봉했던 상품 같았어요,주문 두 개 중 하나 박스 개봉 시 나머지 하나 다르다 개봉 하다 상품 같다,경쟁사(식물등)
12626,경쟁사,2022-06-28,3,식물등,부정,0.508933574,naver,"[('역시', 'Noun'), ('나', 'Josa'), ('스탠드', 'Noun'), ('키', 'Noun'), ('를', 'Josa'), ('최대로', 'Noun'), ('하다', 'Verb'), ('때', 'Noun'), ('계속', 'Noun'), ('내려오다', 'Verb'), ('테이프', 'Noun'), ('로', 'Josa'), ('돌돌', 'Adverb'), ('감다', 'Verb'), ('억지로', 'Noun'), ('고정', 'Noun'), ('하다', 'Verb'), ('사용', 'Noun'), ('하고', 'Josa'), ('있다', 'Adjective')]","['역시', '스탠드', '키', '최대로', '때', '계속', '테이프', '억지로', '고정', '사용']","['하다', '내려오다', '감다', '하다', '있다']","['역시', '스탠드', '키', '최대로', '하다', '때', '계속', '내려오다', '테이프', '감다', '억지로', '고정', '하다', '사용', '있다']",역시나 스탠드 키를 최대로 했을 때 계속 내려와서 테이프로 돌돌 감아서 억지로 고정해서 사용하고 있어요,역시 스탠드 키 최대로 하다 때 계속 내려오다 테이프 돌돌 감다 억지로 고정 하다 사용 있다,경쟁사(식물등)
12627,경쟁사,2022-06-28,3,식물등,부정,0.50827783,naver,"[('또', 'Noun'), ('전원', 'Noun'), ('을', 'Josa'), ('끄다', 'Verb'), ('코드', 'Noun'), ('를', 'Josa'), ('빼다', 'Verb'), ('상태', 'Noun'), ('에도', 'Josa'), ('간', 'Noun'), ('헐다', 'Verb'), ('적', 'Noun'), ('으로', 'Josa'), ('깜박임', 'Noun'), ('이', 'Josa'), ('있다', 'Adjective')]","['또', '전원', '코드', '상태', '간', '적', '깜박임']","['끄다', '빼다', '헐다', '있다']","['또', '전원', '끄다', '코드', '빼다', '상태', '간', '헐다', '적', '깜박임', '있다']",또 전원을 끄고 코드를 뺀 상태에도 간헐적으로 깜박임이 있네요,또 전원 끄다 코드 빼다 상태 간 헐다 적 깜박임 있다,경쟁사(식물등)
12628,경쟁사,2022-06-28,3,식물등,부정,0.508859858,naver,"[('상품', 'Noun'), ('검수', 'Noun'), ('가', 'Josa'), ('안', 'Noun'), ('되다', 'Verb'), ('거', 'Noun'), ('는', 'Josa'), ('물론', 'Adverb'), ('이고', 'Josa'), ('하자', 'Noun'), ('있다', 'Adjective'), ('상품', 'Noun'), ('을', 'Josa'), ('보내다', 'Verb'), ('것', 'Noun'), ('으로', 'Josa'), ('보이다', 'Verb')]","['상품', '검수', '안', '거', '하자', '상품', '걸']","['되다', '있다', '보내다', '보이다']","['상품', '검수', '안', '되다', '거', '하자', '있다', '상품', '보내다', '것', '보이다']",상품 검수가 안 된 거는 물론이고 하자 있는 상품을 보낸 걸로 보이네요,상품 검수 안 되다 거 물론 하자 있다 상품 보내다 것 보이다,경쟁사(식물등)
12629,경쟁사,2022-06-28,3,식물등,부정,0.511119115,naver,"[('식물', 'Noun'), ('위', 'Noun'), ('에', 'Josa'), ('직립', 'Noun'), ('으로', 'Josa'), ('세우다', 'Verb'), ('사용', 'Noun'), ('하다', 'Verb'), ('수', 'Noun'), ('있다', 'Adjective'), ('점', 'Noun'), ('과', 'Josa'), ('높이', 'Noun'), ('조절', 'Noun'), ('타이머', 'Noun'), ('기능', 'Noun'), ('광도', 'Noun'), ('조절', 'Noun'), ('기능', 'Noun'), ('등', 'Noun'), ('기능', 'Noun'), ('면', 'Noun'), ('에서', 'Josa'), ('아주', 'Noun'), ('좋다', 'Adjective'), ('상품', 'Noun'), ('이라', 'Josa'), ('생각', 'Noun'), ('돼다', 'Verb')]","['식물', '위', '직립', '사용', '수', '점', '높이', '조절', '타이머', '기능', '광도', '조절', '기능', '등', '기능', '면', '아주', '상품', '생각']","['세우다', '하다', '있다', '좋다', '돼다']","['식물', '위', '직립', '세우다', '사용', '하다', '수', '있다', '점', '높이', '조절', '타이머', '기능', '광도', '조절', '기능', '등', '기능', '면', '아주', '좋다', '상품', '생각', '돼다']",식물 위에 직립으로 세워서 사용할 수 있는 점과 높이 조절 타이머 기능 광도 조절 기능등 기능 면에서 아주 좋은 상품이라 생각돼요,식물 위 직립 세우다 사용 하다 수 있다 점 높이 조절 타이머 기능 광도 조절 기능 등 기능 면 아주 좋다 상품 생각 돼다,경쟁사(식물등)
12630,경쟁사,2022-06-28,3,식물등,부정,0.507716373,naver,"[('그렇다', 'Adjective'), ('아주', 'Noun'), ('조잡', 'Noun'), ('스럽다', 'Adjective'), ('생각', 'Noun'), ('이', 'Josa'), ('들다', 'Verb'), ('건', 'Noun'), ('왜', 'Noun'), ('가격', 'Noun'), ('이', 'Josa'), ('올라가다', 'Verb'), ('제대로', 'Noun'), ('만들다', 'Verb'), ('않다', 'Verb'), ('하다', 'Verb'), ('의문', 'Noun'), ('이', 'Josa'), ('들어서다', 'Verb')]","['아주', '조잡', '생각', '건', '왜', '가격', '제대로', '의문']","['그렇다', '스럽다', '들다', '올라가다', '만들다', '않다', '하다', '들어서다']","['그렇다', '아주', '조잡', '스럽다', '생각', '들다', '건', '왜', '가격', '올라가다', '제대로', '만들다', '않다', '하다', '의문', '들어서다']",그런데도 아주 조잡스럽다는 생각이 드는 건 왜 가격이 올라가더라도 제대로 만들지 않았는지 하는 의문이 들어서예요,그렇다 아주 조잡 스럽다 생각 들다 건 왜 가격 올라가다 제대로 만들다 않다 하다 의문 들어서다,경쟁사(식물등)
12631,경쟁사,2022-06-28,3,식물등,부정,0.510468641,naver,"[('바람', 'Noun'), ('불면', 'Noun'), ('아니다', 'Adjective'), ('툭', 'Noun'), ('건드리다', 'Verb'), ('쓰러지다', 'Verb'), ('것', 'Noun'), ('같다', 'Adjective'), ('약', 'Modifier'), ('하디', 'Noun'), ('약하다', 'Adjective'), ('스탠드', 'Noun'), ('가', 'Josa'), ('아니다', 'Adjective'), ('더', 'Noun'), ('안정감', 'Noun'), ('있다', 'Adjective'), ('단단하다', 'Adjective'), ('높이', 'Noun'), ('조절', 'Noun'), ('도', 'Josa'), ('좀', 'Noun'), ('더', 'Noun'), ('실용', 'Noun'), ('성', 'Suffix'), ('있다', 'Adjective'), ('만들다', 'Verb'), ('정말', 'Noun'), ('유용하다', 'Adjective'), ('거란', 'Noun'), ('생각', 'Noun'), ('이', 'Josa'), ('드네', 'Noun'), ('요', 'Josa')]","['바람', '불면', '툭', '것', '하디', '스탠드', '더', '안정감', '높이', '조절', '좀', '더', '실용', '정말', '거란', '생각', '드네']","['아니다', '건드리다', '쓰러지다', '같다', '약하다', '아니다', '있다', '단단하다', '있다', '만들다', '유용하다']","['바람', '불면', '아니다', '툭', '건드리다', '쓰러지다', '것', '같다', '하디', '약하다', '스탠드', '아니다', '더', '안정감', '있다', '단단하다', '높이', '조절', '좀', '더', '실용', '있다', '만들다', '정말', '유용하다', '거란', '생각', '드네']",바람 불면 아니면 툭 건드리면 쓰러질 것 같은 약하디약한 스탠드가 아니라 더 안정감 있고 단단하게 높이 조절도 좀 더 실용성 있게 만들었으면 정말 유용했을 거란 생각이 드네요,바람 불면 아니다 툭 건드리다 쓰러지다 것 같다 약 하디 약하다 스탠드 아니다 더 안정감 있다 단단하다 높이 조절 좀 더 실용 성 있다 만들다 정말 유용하다 거란 생각 드네,경쟁사(식물등)
12632,경쟁사,2022-06-28,3,식물등,부정,0.508612365,naver,"[('미니', 'Noun'), ('멀다', 'Adjective'), ('샘플', 'Noun'), ('같다', 'Adjective'), ('이', 'Noun'), ('상품', 'Noun'), ('의', 'Josa'), ('좀', 'Noun'), ('더', 'Noun'), ('견고하다', 'Adjective'), ('실용', 'Noun'), ('성', 'Suffix'), ('있다', 'Adjective'), ('개량', 'Noun'), ('판이', 'Noun'), ('나오다', 'Verb'), ('좋다', 'Adjective')]","['미니', '샘플', '이', '상품', '좀', '더', '실용', '개량', '판이']","['멀다', '같다', '견고하다', '있다', '나오다', '좋다']","['미니', '멀다', '샘플', '같다', '이', '상품', '좀', '더', '견고하다', '실용', '있다', '개량', '판이', '나오다', '좋다']",미니멀한 샘플 같은 이 상품의 좀 더 견고하고 실용성 있는 개량판이 나왔으면 좋겠네요,미니 멀다 샘플 같다 이 상품 좀 더 견고하다 실용 성 있다 개량 판이 나오다 좋다,경쟁사(식물등)
12765,경쟁사,2022-05-30,4,식물등,부정,0.547784021,naver,"[('모양', 'Noun'), ('도', 'Josa'), ('귀엽다', 'Adjective'), ('작다', 'Adjective'), ('화분', 'Noun'), ('들', 'Suffix'), ('관리', 'Noun'), ('하다', 'Verb'), ('데', 'Noun'), ('좋다', 'Adjective'), ('것', 'Noun'), ('같다', 'Adjective')]","['모양', '화분', '관리', '데', '것']","['귀엽다', '작다', '하다', '좋다', '같다']","['모양', '귀엽다', '작다', '화분', '관리', '하다', '데', '좋다', '것', '같다']",모양도 귀엽고 작은 화분들 관리하는 데 좋은 것 같습니다,모양 귀엽다 작다 화분 들 관리 하다 데 좋다 것 같다,경쟁사(식물등)
12766,경쟁사,2022-05-30,4,식물등,부정,0.54687739,naver,"[('다만', 'Noun'), ('효과', 'Noun'), ('가', 'Josa'), ('있다', 'Adjective'), ('모르다', 'Verb')]","['다만', '효과']","['있다', '모르다']","['다만', '효과', '있다', '모르다']",다만 효과가 있는지는 모르겠어요,다만 효과 있다 모르다,경쟁사(식물등)
12767,경쟁사,2022-05-30,4,식물등,부정,0.54742147,naver,"[('식물', 'Noun'), ('등', 'Noun'), ('해', 'Noun'), ('두다', 'Verb'), ('발아', 'Noun'), ('를', 'Josa'), ('자다', 'Verb'), ('못', 'VerbPrefix'), ('하다', 'Verb'), ('오히려', 'Noun'), ('신경', 'Noun'), ('안', 'Noun'), ('쓰다', 'Verb'), ('창가', 'Noun'), ('에', 'Josa'), ('두다', 'Verb'), ('더', 'Noun'), ('자다', 'Verb'), ('자라다', 'Verb'), ('것', 'Noun'), ('같다', 'Adjective')]","['식물', '등', '해', '발아', '오히려', '신경', '안', '창가', '더', '것']","['두다', '자다', '하다', '쓰다', '두다', '자다', '자라다', '같다']","['식물', '등', '해', '두다', '발아', '자다', '하다', '오히려', '신경', '안', '쓰다', '창가', '두다', '더', '자다', '자라다', '것', '같다']",식물등 해뒀는데도 발아를 잘 못했는데 오히려 신경 안 쓰고 창가에 두니 더 잘 자라는 것 같네요,식물 등 해 두다 발아 자다 못 하다 오히려 신경 안 쓰다 창가 두다 더 자다 자라다 것 같다,경쟁사(식물등)
12768,경쟁사,2022-05-30,4,식물등,부정,0.546588454,naver,"[('창가', 'Noun'), ('가', 'Josa'), ('햇빛', 'Noun'), ('이', 'Josa'), ('계속', 'Noun'), ('들어오다', 'Verb'), ('않다', 'Verb'), ('구매', 'Noun'), ('하다', 'Verb'), ('그냥', 'Noun'), ('창가', 'Noun'), ('가', 'Josa'), ('더', 'Noun'), ('나은', 'Noun'), ('것', 'Noun'), ('같다', 'Adjective')]","['창가', '햇빛', '계속', '구매', '그냥', '창가', '더', '나은', '것']","['들어오다', '않다', '하다', '같다']","['창가', '햇빛', '계속', '들어오다', '않다', '구매', '하다', '그냥', '창가', '더', '나은', '것', '같다']",창가가 햇빛이 계속 들어오지 않아서 구매했는데 그냥 창가가 더 나은 것 같아요,창가 햇빛 계속 들어오다 않다 구매 하다 그냥 창가 더 나은 것 같다,경쟁사(식물등)
12930,경쟁사,2021-11-12,4,식물등,부정,0.546673012,naver,"[('상품', 'Noun'), ('퀄리티', 'Noun'), ('중국', 'Noun'), ('에서', 'Josa'), ('사', 'Noun'), ('온', 'Noun'), ('조잡하다', 'Adjective'), ('조명', 'Noun'), ('이', 'Josa'), ('아니다', 'Adjective'), ('의심', 'Noun'), ('하다', 'Verb'), ('전혀', 'Noun'), ('너무', 'Adverb'), ('예쁘다', 'Adjective'), ('패키지', 'Noun'), ('에', 'Josa'), ('저렇게', 'Adverb'), ('귀엽다', 'Adjective'), ('엽서', 'Noun'), ('도', 'Josa'), ('동봉', 'Noun'), ('되어다', 'Verb'), ('있다', 'Adjective')]","['상품', '퀄리티', '중국', '사', '온', '조명', '의심', '전혀', '패키지', '엽서', '동봉']","['조잡하다', '아니다', '하다', '예쁘다', '귀엽다', '되어다', '있다']","['상품', '퀄리티', '중국', '사', '온', '조잡하다', '조명', '아니다', '의심', '하다', '전혀', '예쁘다', '패키지', '귀엽다', '엽서', '동봉', '되어다', '있다']",상품 퀄리티 중국에서 사 온 조잡한 조명이 아닐까 의심했는데 전혀 너무 예쁜 패키지에 저렇게 귀여운 엽서도 동봉되어 있네요,상품 퀄리티 중국 사 온 조잡하다 조명 아니다 의심 하다 전혀 너무 예쁘다 패키지 저렇게 귀엽다 엽서 동봉 되어다 있다,경쟁사(식물등)
12931,경쟁사,2021-11-12,4,식물등,부정,0.546563122,naver,"[('상품', 'Noun'), ('도', 'Josa'), ('조악하다', 'Adjective'), ('않다', 'Verb'), ('튼튼하다', 'Adjective'), ('좋다', 'Adjective')]",['상품'],"['조악하다', '않다', '튼튼하다', '좋다']","['상품', '조악하다', '않다', '튼튼하다', '좋다']",상품도 조악하지 않고 튼튼하니 좋습니다,상품 조악하다 않다 튼튼하다 좋다,경쟁사(식물등)
12932,경쟁사,2021-11-12,4,식물등,부정,0.548234981,naver,"[('크기', 'Noun'), ('프리지어', 'Noun'), ('초장', 'Noun'), ('이', 'Josa'), ('60', 'Number'), ('센티', 'Noun'), ('까지도', 'Josa'), ('자라다', 'Verb'), ('짧다', 'Adjective'), ('않다', 'Verb'), ('걱정', 'Noun'), ('하다', 'Verb'), ('아슬아슬', 'Noun'), ('딱', 'Adverb'), ('맞다', 'Verb'), ('기장', 'Noun'), ('은', 'Josa'), ('문제', 'Noun'), ('없다', 'Adjective')]","['크기', '프리지어', '초장', '센티', '걱정', '아슬아슬', '기장', '문제']","['자라다', '짧다', '않다', '하다', '맞다', '없다']","['크기', '프리지어', '초장', '센티', '자라다', '짧다', '않다', '걱정', '하다', '아슬아슬', '맞다', '기장', '문제', '없다']",크기 프리지어 초장이 60센티까지도 자라서 짧지 않을까 걱정했는데 아슬아슬 딱 맞아 기장은 문제없습니다,크기 프리지어 초장 60 센티 자라다 짧다 않다 걱정 하다 아슬아슬 딱 맞다 기장 문제 없다,경쟁사(식물등)
12933,경쟁사,2021-11-12,4,식물등,부정,0.547193989,naver,"[('현재', 'Noun'), ('반정', 'Noun'), ('도', 'Josa'), ('밖에', 'Josa'), ('펼치다', 'Verb'), ('않다', 'Verb'), ('상태', 'Noun'), ('예요', 'Josa')]","['현재', '반정', '상태']","['펼치다', '않다']","['현재', '반정', '펼치다', '않다', '상태']",현재 반정도 밖에 펼치지 않은 상태예요,현재 반정 펼치다 않다 상태,경쟁사(식물등)
12934,경쟁사,2021-11-12,4,식물등,부정,0.547597376,naver,"[('빛', 'Noun'), ('2', 'Number'), ('v', 'Alpha'), ('를', 'Noun'), ('추천', 'Noun'), ('압력', 'Noun'), ('으로', 'Josa'), ('하다', 'Verb'), ('1', 'Number'), ('3', 'Number'), ('v', 'Alpha'), ('에서도', 'Josa'), ('충분하다', 'Adjective'), ('밝기', 'Noun'), ('는', 'Josa'), ('나오다', 'Verb'), ('것', 'Noun'), ('같다', 'Adjective')]","['빛', '를', '추천', '압력', '밝기', '것']","['하다', '충분하다', '나오다', '같다']","['빛', '를', '추천', '압력', '하다', '충분하다', '밝기', '나오다', '것', '같다']",빛 2v를 추천 압력으로 하시는데 1 3v에서도 충분히 밝기는 나오는 것 같습니다,빛 2 v 를 추천 압력 하다 1 3 v 충분하다 밝기 나오다 것 같다,경쟁사(식물등)
12935,경쟁사,2021-11-12,4,식물등,부정,0.54667367,naver,"[('하지만', 'Conjunction'), ('추천', 'Noun'), ('하다', 'Verb'), ('주신', 'Noun'), ('대로', 'Noun'), ('압력', 'Noun'), ('을', 'Josa'), ('더', 'Noun'), ('높이', 'Noun'), ('면', 'Josa'), ('좋다', 'Adjective'), ('하다', 'Verb')]","['추천', '주신', '대로', '압력', '더', '높이']","['하다', '좋다', '하다']","['추천', '하다', '주신', '대로', '압력', '더', '높이', '좋다', '하다']",하지만 추천해 주신 대로 압력을 더 높이면 좋긴 하겠죠,하지만 추천 하다 주신 대로 압력 더 높이 좋다 하다,경쟁사(식물등)
12936,경쟁사,2021-11-12,4,식물등,부정,0.549092823,naver,"[('그리고', 'Conjunction'), ('눈부심', 'Noun'), ('위험', 'Noun'), ('이', 'Josa'), ('있다', 'Adjective'), ('시야', 'Noun'), ('보다', 'Josa'), ('낮다', 'Adjective'), ('두시', 'Noun'), ('는', 'Josa'), ('게', 'Noun'), ('좋다', 'Adjective'), ('것', 'Noun'), ('같다', 'Adjective')]","['눈부심', '위험', '시야', '두시', '게', '것']","['있다', '낮다', '좋다', '같다']","['눈부심', '위험', '있다', '시야', '낮다', '두시', '게', '좋다', '것', '같다']",그리고 눈부심 위험이 있으니 시야보다 낮게 두시는 게 좋을 것 같아요,그리고 눈부심 위험 있다 시야 낮다 두시 게 좋다 것 같다,경쟁사(식물등)
12937,경쟁사,2021-11-12,4,식물등,부정,0.545756248,naver,"[('그리고', 'Conjunction'), ('넓다', 'Adjective'), ('영역', 'Noun'), ('으로', 'Josa'), ('빛', 'Noun'), ('이', 'Josa'), ('퍼지다', 'Verb'), ('게', 'Noun'), ('아니다', 'Adjective'), ('조명', 'Noun'), ('아래쪽', 'Noun'), ('만', 'Josa'), ('내려오다', 'Verb'), ('생각', 'Noun'), ('하다', 'Verb'), ('게', 'Noun'), ('좋다', 'Adjective'), ('것', 'Noun'), ('같다', 'Adjective')]","['영역', '빛', '게', '조명', '아래쪽', '생각', '게', '것']","['넓다', '퍼지다', '아니다', '내려오다', '하다', '좋다', '같다']","['넓다', '영역', '빛', '퍼지다', '게', '아니다', '조명', '아래쪽', '내려오다', '생각', '하다', '게', '좋다', '것', '같다']",그리고 넓은 영역으로 빛이 퍼지는 게 아니라 조명 아래쪽만 내려온다고 생각하는 게 좋을 것 같아요,그리고 넓다 영역 빛 퍼지다 게 아니다 조명 아래쪽 내려오다 생각 하다 게 좋다 것 같다,경쟁사(식물등)
12938,경쟁사,2021-11-12,4,식물등,부정,0.545962602,naver,"[('조명', 'Noun'), ('을', 'Josa'), ('높이', 'Noun'), ('면', 'Josa'), ('그만큼', 'Adverb'), ('광원', 'Noun'), ('에서', 'Josa'), ('멀어지다', 'Verb'), ('효과', 'Noun'), ('가', 'Josa'), ('덜', 'Noun'), ('하다', 'Verb'), ('것', 'Noun'), ('같다', 'Adjective')]","['조명', '높이', '광원', '효과', '덜', '것']","['멀어지다', '하다', '같다']","['조명', '높이', '광원', '멀어지다', '효과', '덜', '하다', '것', '같다']",조명을 높이면 그만큼 광원에서 멀어져서 효과가 덜 할 것 같습니다,조명 높이 그만큼 광원 멀어지다 효과 덜 하다 것 같다,경쟁사(식물등)
12939,경쟁사,2022-11-15,4,식물등,부정,0.547893709,naver,"[('스탠드', 'Noun'), ('색상', 'Noun'), ('은', 'Josa'), ('무난', 'Noun'), ('하다', 'Verb')]","['스탠드', '색상', '무난']",['하다'],"['스탠드', '색상', '무난', '하다']",스탠드 색상은 무난하네요,스탠드 색상 무난 하다,경쟁사(식물등)
12940,경쟁사,2022-11-15,4,식물등,부정,0.547178841,naver,"[('빛', 'Noun'), ('도', 'Josa'), ('넓다', 'Adjective'), ('퍼지다', 'Verb'), ('주변', 'Noun'), ('많다', 'Adjective'), ('식물', 'Noun'), ('이', 'Josa'), ('빛', 'Noun'), ('을', 'Josa'), ('받다', 'Verb'), ('수', 'Noun'), ('있다', 'Adjective'), ('좋다', 'Adjective')]","['빛', '주변', '식물', '빛', '수']","['넓다', '퍼지다', '많다', '받다', '있다', '좋다']","['빛', '넓다', '퍼지다', '주변', '많다', '식물', '빛', '받다', '수', '있다', '좋다']",빛도 넓게 퍼져서 주변 많은 식물이 빛을 받을 수 있어서 좋아요,빛 넓다 퍼지다 주변 많다 식물 빛 받다 수 있다 좋다,경쟁사(식물등)
12941,경쟁사,2022-11-15,4,식물등,부정,0.547264361,naver,"[('다만', 'Noun'), ('무선', 'Noun'), ('이', 'Josa'), ('아니다', 'Adjective'), ('유선', 'Noun'), ('방식', 'Noun'), ('이라', 'Josa'), ('콘센트', 'Noun'), ('있다', 'Adjective'), ('곳', 'Noun'), ('에만', 'Josa'), ('놓다', 'Verb'), ('수', 'Noun'), ('있다', 'Adjective'), ('건', 'Noun'), ('아쉽다', 'Adjective'), ('부분', 'Noun'), ('이다', 'Adjective')]","['다만', '무선', '유선', '방식', '콘센트', '곳', '수', '건', '부분']","['아니다', '있다', '놓다', '있다', '아쉽다', '이다']","['다만', '무선', '아니다', '유선', '방식', '콘센트', '있다', '곳', '놓다', '수', '있다', '건', '아쉽다', '부분', '이다']",다만 무선이 아닌 유선 방식이라 콘센트 있는 곳에만 놓을 수 있는 건 아쉬운 부분입니다,다만 무선 아니다 유선 방식 콘센트 있다 곳 놓다 수 있다 건 아쉽다 부분 이다,경쟁사(식물등)
12942,경쟁사,2022-11-15,4,식물등,부정,0.547087291,naver,"[('나오다', 'Verb'), ('빛', 'Noun'), ('이', 'Josa'), ('눈', 'Noun'), ('에', 'Josa'), ('안', 'Noun'), ('좋다', 'Adjective'), ('하니', 'Noun'), ('구매', 'Noun'), ('하다', 'Verb'), ('분', 'Noun'), ('들', 'Suffix'), ('은', 'Josa'), ('참고', 'Noun'), ('하다', 'Verb')]","['빛', '눈', '안', '하니', '구매', '분', '참고']","['나오다', '좋다', '하다', '하다']","['나오다', '빛', '눈', '안', '좋다', '하니', '구매', '하다', '분', '참고', '하다']",나오는 빛이 눈에 안 좋다고 하니 구매하시는 분들은 참고하세요,나오다 빛 눈 안 좋다 하니 구매 하다 분 들 참고 하다,경쟁사(식물등)
12943,경쟁사,2022-11-15,4,식물등,부정,0.548439866,naver,"[('사진', 'Noun'), ('은', 'Josa'), ('빛', 'Noun'), ('퍼지다', 'Verb'), ('정도', 'Noun'), ('와', 'Josa'), ('크기', 'Noun'), ('비교', 'Noun'), ('하다', 'Verb'), ('2', 'Number'), ('리터', 'Noun'), ('삼다수', 'Noun'), ('병', 'Noun'), ('옆', 'Noun'), ('에', 'Josa'), ('놓다', 'Verb'), ('찍다', 'Verb'), ('거', 'Noun'), ('예요', 'Josa')]","['사진', '빛', '정도', '크기', '비교', '리터', '삼다수', '병', '옆', '거']","['퍼지다', '하다', '놓다', '찍다']","['사진', '빛', '퍼지다', '정도', '크기', '비교', '하다', '리터', '삼다수', '병', '옆', '놓다', '찍다', '거']",사진은 빛 퍼지는 정도와 크기 비교하시라고 2리터 삼다수 병 옆에 놓고 찍은 거예요,사진 빛 퍼지다 정도 크기 비교 하다 2 리터 삼다수 병 옆 놓다 찍다 거,경쟁사(식물등)
13024,경쟁사,2021-12-11,4,식물등,부정,0.548391381,naver,"[('생각', 'Noun'), ('하다', 'Verb'), ('것', 'Noun'), ('보다는', 'Josa'), ('크기', 'Noun'), ('가', 'Josa'), ('작', 'Noun'), ('지만', 'Josa'), ('예쁘다', 'Adjective'), ('설치', 'Noun'), ('하다', 'Verb'), ('편리하다', 'Adjective')]","['생각', '것', '크기', '작', '설치']","['하다', '예쁘다', '하다', '편리하다']","['생각', '하다', '것', '크기', '작', '예쁘다', '설치', '하다', '편리하다']",생각했던 것보다는 크기가 작지만 예쁘고 설치하기가 편리해요,생각 하다 것 크기 작 예쁘다 설치 하다 편리하다,경쟁사(식물등)
13025,경쟁사,2021-12-11,4,식물등,부정,0.548445085,naver,"[('비슷하다', 'Adjective'), ('종류', 'Noun'), ('의', 'Josa'), ('식물', 'Noun'), ('등', 'Noun'), ('이', 'Josa'), ('많다', 'Adjective'), ('스탠드', 'Noun'), ('받침', 'Noun'), ('까지', 'Josa'), ('판매', 'Noun'), ('하다', 'Verb'), ('곳', 'Noun'), ('은', 'Josa'), ('여기', 'Noun'), ('뿐', 'Suffix'), ('이라', 'Josa'), ('구매', 'Noun'), ('하다', 'Verb'), ('완전', 'Noun'), ('만족', 'Noun'), ('이에요', 'Josa')]","['종류', '식물', '등', '스탠드', '받침', '판매', '곳', '여기', '구매', '완전', '만족']","['비슷하다', '많다', '하다', '하다']","['비슷하다', '종류', '식물', '등', '많다', '스탠드', '받침', '판매', '하다', '곳', '여기', '구매', '하다', '완전', '만족']",비슷한 종류의 식물등이 많았지만 스탠드 받침까지 판매하는 곳은 여기뿐이라 구매했는데 완전 만족이에요,비슷하다 종류 식물 등 많다 스탠드 받침 판매 하다 곳 여기 뿐 구매 하다 완전 만족,경쟁사(식물등)
13026,경쟁사,2021-12-11,4,식물등,부정,0.546807829,naver,"[('자리', 'Noun'), ('차지', 'Noun'), ('도', 'Josa'), ('심하다', 'Adjective'), ('않다', 'Verb'), ('광합성', 'Noun'), ('도', 'Josa'), ('충분하다', 'Adjective'), ('하다', 'Verb'), ('해주다', 'Verb'), ('수', 'Noun'), ('있다', 'Adjective'), ('재구매', 'Noun'), ('의사', 'Noun'), ('200', 'Number'), ('이다', 'Adjective')]","['자리', '차지', '광합성', '수', '재구매', '의사']","['심하다', '않다', '충분하다', '하다', '해주다', '있다', '이다']","['자리', '차지', '심하다', '않다', '광합성', '충분하다', '하다', '해주다', '수', '있다', '재구매', '의사', '이다']",자리 차지도 심하지 않고 광합성도 충분히 하게 해줄 수 있어서 재구매 의사 200 입니다,자리 차지 심하다 않다 광합성 충분하다 하다 해주다 수 있다 재구매 의사 200 이다,경쟁사(식물등)
13114,경쟁사,2022-04-09,4,식물등,부정,0.546284622,naver,"[('생각', 'Noun'), ('보다', 'Josa'), ('작다', 'Adjective')]",['생각'],['작다'],"['생각', '작다']",생각보다 작아요,생각 작다,경쟁사(식물등)
13115,경쟁사,2022-04-09,4,식물등,부정,0.548284429,naver,"[('별', 'Noun'), ('하나', 'Noun'), ('뺏다', 'Verb')]","['별', '하나']",['뺏다'],"['별', '하나', '뺏다']",별 하나 뺏어요,별 하나 뺏다,경쟁사(식물등)
13116,경쟁사,2022-04-09,4,식물등,부정,0.547245717,naver,"[('작다', 'Adjective'), ('화분', 'Noun'), ('3', 'Number'), ('개', 'Noun'), ('정도', 'Noun'), ('비추다', 'Verb'), ('딱', 'Adverb'), ('좋다', 'Adjective'), ('거', 'Noun'), ('같다', 'Adjective')]","['화분', '개', '정도', '거']","['작다', '비추다', '좋다', '같다']","['작다', '화분', '개', '정도', '비추다', '좋다', '거', '같다']",작은 화분 3개 정도 비추면 딱 좋은거같아요,작다 화분 3 개 정도 비추다 딱 좋다 거 같다,경쟁사(식물등)
